Antwort ID;Datum Abgeschickt;Letzte Seite;Start-Sprache;Zufallsstartwert;Alter;Geschlecht;Bildungsabschluss;Wie wichtig sind Ihnen Umweltaspekte beim Kauf eines Produktes?;Wie oft kaufen Sie Produkte, die als umweltbewusst beworben werden?;Wie glaubwürdig finden Sie Aussagen zu Umweltfreundlichkeit auf Produktverpackungen?;Wie häufig kaufen Sie ein Produkt nur aufgrund der umweltfreundlichen Verpackung?;Wie würden Sie reagieren, wenn Sie herausfinden, dass ein Produkt, das Sie gekauft haben, Greenwashing betreibt?
15;01.01.80 00:00;2;de;1033798977;18-24;Weiblich;Abitur;Sehr wichtig;Oft;Glaubwürdig;Häufig;Ich würde das Produkt gar nicht mehr kaufen
45;01.01.80 00:00;2;de;653425928;18-24;Männlich;Abitur;Wichtig;Oft;Glaubwürdig;Häufig;Ich würde das Produkt gar nicht mehr kaufen
71;01.01.80 00:00;2;de;2083485211;55 oder älter;Männlich;Fachabitur;Neutral;Sehr oft;Neutral;Häufig;Ich würde meine Freunde und Familie darüber informieren
2;01.01.80 00:00;2;de;168638000;18-24;Weiblich;Abitur;Neutral;Oft;Neutral;Häufig;Ich würde das Produkt gar nicht mehr kaufen
44;01.01.80 00:00;2;de;324466819;18-24;Männlich;Abitur;Wichtig;Oft;Neutral;Häufig;Ich würde das Produkt eher nicht mehr kaufen
20;01.01.80 00:00;2;de;74890089;18-24;Weiblich;Abitur;Wichtig;Oft;Neutral;Häufig;Ich würde das Produkt gar nicht mehr kaufen
11;01.01.80 00:00;2;de;139105854;18-24;Weiblich;Fachabitur;Wichtig;Oft;Neutral;Häufig;Ich würde eine Bewertung schreiben
35;01.01.80 00:00;2;de;37679574;18-24;Weiblich;Fachabitur;Wichtig;Oft;Neutral;Häufig;Ich würde das Produkt gar nicht mehr kaufen
13;01.01.80 00:00;2;de;1339778455;18-24;Weiblich;Abitur;Wichtig;Manchmal;Neutral;Häufig;Ich würde meine Freunde und Familie darüber informieren
26;01.01.80 00:00;2;de;1732913408;18-24;Weiblich;Abitur;Wichtig;Manchmal;Neutral;Häufig;Ich würde das Produkt eher nicht mehr kaufen
