id	name	@lon	@lat	fee	wheelchair	operator
		13.3354981	52.5250027	yes	yes	Wall
		13.4063232	52.5185392	yes	yes	
		13.3738695	52.5175448	yes	yes	
	Berliner Toilette	13.2725671	52.5096874	yes	no	Wall GmbH
		13.2288157	52.4477899	no	no	
		13.1772821	52.4395401			
		13.1773459	52.4373163		no	
		13.1773664	52.4405511			
	Berliner Toilette	13.4642879	52.4874875	no	yes	Wall GmbH
	Historische Toilette (Café Achteck)	13.3633629	52.4811845	no	no	
		13.1214072	52.4303983	no	yes	
	Öffentliche Toilette	13.2050138	52.5368873	yes	yes	Wall
		13.3431051	52.4389743	yes	yes	Wall
		13.2163673	52.4238362			
		13.5138306	52.5172132	no	yes	
		13.2855929	52.4982552	no	yes	sonstiger Betreiber
	Berliner Toilette	13.2940050	52.5361522	yes	yes	Wall
		13.3536461	52.4948538	yes	yes	Wall
		13.2276499	52.5064309	no	no	sonstiger Betreiber
	Berliner Toilette	13.3250660	52.4940010	yes	yes	Wall
	Berliner Toilette	13.3174167	52.5015328	yes	yes	Wall
		13.2311127	52.5252987	no	no	sonstiger Betreiber
	Berliner Toilette	13.3586017	52.5469956	yes	yes	Wall
	Berliner Toilette	13.4136041	52.5598709	yes	yes	
		13.3120206	52.4425520			
	Historische Toilette (Café Achteck)	13.3909712	52.4885150	yes	no	
	City Toilette	13.3984484	52.3865530	yes	limited	Wall
		13.3305814	52.5273789	yes	yes	Wall
		13.3631454	52.4135180	yes	yes	Wall
		13.3567345	52.5163479	no	no	
	Berliner Toilette	13.4129034	52.5324627	no	no	
		13.4086361	52.4326000		yes	
	Berliner Toilette	13.3066830	52.5078805	yes	yes	Wall
		13.3527277	52.5444528		limited	
	Herren WC	13.3527791	52.5444267		yes	
		13.3389963	52.5096006	yes	yes	
	Öffentliche Toilette	13.3379653	52.5069243	no	no	
		13.3420774	52.5068545	no	yes	
		13.3366833	52.5126724	no	no	
	City Toilette	13.3427061	52.5024723	yes	yes	Wall
	Berliner Toilette	13.4839872	52.5030205	0.5 Euro	yes	Wall GmbH
		13.4129688	52.5214626	yes	yes	Wall
		13.6243922	52.4506304	no	yes	Wall
		13.5444405	52.4623565		no	Kindl-Bühne Wuhlheide
		13.5464636	52.4622142	no	no	Kindl-Bühne Wuhlheide
		13.5464644	52.4626505		no	Kindl-Bühne Wuhlheide
		13.2661804	52.4717284	no	no	weiterer Betreiber
		13.2373146	52.5618444			
		13.2401670	52.4423370	yes	yes	Wall
		13.4192430	52.4333412	no	yes	
		13.1814906	52.4698850	no	no	
	Berliner Toilette	13.4303336	52.5000023	yes	yes	Wall GmbH
		13.5272161	52.4989912	no	yes	
		13.5293754	52.5047637	no	no	
		13.5321081	52.5077371	no	yes	
		13.4419408	52.5212353		yes	
		13.3031103	52.4526043	no	no	
		13.1294181	52.4293365	no	no	
		13.1431416	52.4324790	no	no	
		13.4572669	52.4903370	no	yes	
	Parktoilette	13.5264868	52.4688798	no	yes	EcoToiletten GmbH
		13.3366834	52.5331964	no	no	
		13.2536585	52.5122982	no	no	sonstiger Betreiber
		13.3710387	52.4224713	yes	yes	Wall
	Berliner Toilette	13.3275441	52.4864199	yes	yes	Wall
	Berliner Toilette	13.3092430	52.4733320	yes	yes	Wall
	Berliner Toilette	13.2903586	52.5188014	no	yes	Wall
		13.4955184	52.6342587	no	yes	
		13.3593853	52.5489567	no	no	
		13.3768184	52.4676202		yes	Kaufland
		13.1957166	52.5341561	yes	yes	
		13.1975169	52.5338875	no	yes	
	Toilette im Elefantehaus	13.3348708	52.5077820	yes	yes	
	Berliner Toilette	13.2368708	52.5106300	yes	no	Wall GmbH
	WC in Bau	13.2798062	52.5070807	yes	yes	
		13.3147401	52.4733785	yes	no	
	Berliner Toilette	13.4002477	52.5806679	yes	yes	Wall
		13.2596500	52.4310491	yes	yes	Wall
	Berliner Toilette	13.4435508	52.5292560	yes	no	Wall
		13.3035968	52.4820196	no		
		13.3033906	52.4822756	no		
		13.3015349	52.4815187			
	Berliner Toilette	13.4085276	52.4928344	yes	yes	Wall GmbH
		13.4143571	52.4344222	no	limited	
		13.3759850	52.4559388	yes	yes	Wall
	Berliner Toilette	13.5275176	52.4109899	yes	yes	Wall
	SpreeCenter	13.5866150	52.5228580	no	yes	
		13.1899148	52.4545250	no	no	
		13.4977615	52.4157484	yes	yes	Wall
		13.3196847	52.5282660	no	no	
	WC Center Berlin-Hauptbahnhof	13.3690560	52.5250818	yes	yes	Hering
		13.3320816	52.5071296	yes	yes	Sonstiger Betreiber
	Historische Toilette (Café Achteck)	13.3868943	52.4387075		no	
		13.2783634	52.5049204	no	no	
	City Toilette	13.2004467	52.5354700	yes	yes	Wall
		13.4031859	52.4977579			
		13.4056681	52.4977557	no	yes	
		13.3510031	52.4559444			
		13.3067134	52.5102053	no	no	sonstiger Betreiber
		13.4098056	52.5222412	yes	yes	SANIFAIR GmbH
		13.4018038	52.6005368		limited	
		13.3361659	52.4510263	yes	yes	Wall
		13.5773492	52.5395920	no	no	
		13.5797503	52.5386946	no	yes	
		13.1985679	52.5538124		yes	
		13.3068276	52.4564350		yes	
		13.5905933	52.4074596	no	yes	
		13.3708178	52.5225436	yes	no	
		13.5238162	52.5046955		no	
		13.5751048	52.5385816	no	yes	
		13.5047152	52.5480093	no	yes	Kaufland
		13.4072188	52.5223350	no	yes	
		13.2100092	52.5852757	no	no	
		13.2142370	52.5407706	no	no	
	Berliner Toilette	13.2637019	52.4875157	no	yes	Wall GmbH
		13.3200917	52.5127988	no	yes	
		13.2142552	52.5407294		yes	
		13.4658533	52.5540885	no	no	
		13.2748522	52.5061113			
		13.2731732	52.5066304	no		
		13.4386447	52.4918964	yes	limited	Jockel
		13.1651334	52.5489481	no	no	
		13.2704595	52.5049372			
	öffentliche Toilette	13.5479454	52.4379566	yes	no	
		13.5460292	52.4409499	no	yes	
		13.2400893	52.5331943			
		13.4243168	52.5040691	no	yes	
		13.3100691	52.4872037		yes	Sonstiger Betreiber
		13.3019869	52.4737381	no	yes	
		13.1984030	52.4692833	no	no	sonstiger Betreiber
		13.3792609	52.4943924	no	yes	
		13.4318918	52.4627760			
		13.3977600	52.6037205	no	no	
		13.3973930	52.6039187	no	yes	
		13.4459258	52.5544016	yes	yes	
		13.3812307	52.5165789	yes	yes	Wall
		13.4811982	52.6473047			
		13.3707318	52.4985527	no	yes	
		13.3819484	52.4100750	no	yes	
		13.3263083	52.5096974	no	no	
		13.2191164	52.5753534	no	limited	BSR
		13.4159934	52.4826771	no	no	
		13.1761347	52.4199095	yes		
	Berliner Toilette	13.6033621	52.5319723	yes	yes	Wall GmbH
	Berliner Toilette	13.4511350	52.4890630	yes	yes	
		13.3530335	52.5445729		yes	
		13.1777997	52.4362324			
		13.3362793	52.5102553		no	
		13.3720800	52.4965642	no		
		13.3850929	52.4659369	no		
		13.1681855	52.5458400	no	yes	
		13.2616439	52.4675063			
		13.4573559	52.4296013		yes	
		13.3449741	52.5155971	no	no	
	City Toilette	13.1969125	52.5252096	yes	yes	
		13.6769140	52.4428708	no	no	
		13.4115082	52.5029268	no	yes	
		13.3318823	52.4938612		yes	Prager Passage
		13.4338360	52.5281440	yes	yes	
		13.3522975	52.5441039	no		
		13.4582056	52.5454229	no	yes	
		13.4610379	52.5544677		yes	
		13.2352480	52.4689650		yes	
		13.3826846	52.5107113	no	yes	
		13.3890855	52.5183901	no	yes	
		13.4125455	52.4383750		limited	
		13.4117384	52.5225796	yes	yes	
	Toilette (Sanitärcontainer)	13.2431641	52.5759527	no	no	Wall
		13.4391066	52.5246033	no		
		13.4391436	52.5248220	no		
		13.4289223	52.5416699	no	yes	Bürgeramt Prenzlauer Berg
	Kundentoilette Sachsen Küchen	13.4609937	52.5291629	no		
		13.3097799	52.4517590	yes		
		13.3366660	52.6181320			
		13.4128017	52.5761680			
		13.4125464	52.5765094			
		13.2403207	52.4537143	no	no	
		13.6255275	52.4170873	yes		
	Historische Toilette (Café Achteck)	13.3469324	52.5334342	no	no	
		13.3293855	52.4294522		yes	
		13.2860887	52.4588617			
		13.2580463	52.4331023			
		13.3876880	52.5203163	yes	yes	SANIFAIR GmbH
	Berliner Toilette	13.3043190	52.5254020	yes	yes	Wall
		13.3071746	52.5061992	yes	yes	
		13.4614338	52.5240619	no	yes	Kaufland
		13.1925318	52.5677071		yes	
		13.1971549	52.5710801			
	Toilette (Sanitärcontainer)	13.2216519	52.5942503	no	no	Wall GmbH
		13.5242030	52.4755760			
	Berliner Toilette	13.2305092	52.5133798	yes	no	Wall
		13.2911790	52.5431140	yes	yes	Waldhochseilgarten-Jungfernheide
		13.4817053	52.5791432			
		13.3843208	52.5338737	no		
		13.3843725	52.5338236	no		
		13.3843933	52.5336351			
		13.3928357	52.5128207	no	no	
		13.4171149	52.4799540	no		
		13.3625101	52.5565220		yes	
		13.3888535	52.5495410	yes	yes	SANIFAIR GmbH
		13.3889238	52.5495428			
		13.3026807	52.6108952	no	no	
		13.2937983	52.5199076		no	
		13.2931103	52.5199407	yes	no	
		13.5235963	52.4984962	no	yes	
		13.3681344	52.5244986	yes	no	
		13.5007473	52.5422056	no	yes	
		13.3895979	52.5353146	no	yes	Gedenkstätte Berliner Mauer
		13.4089902	52.5426851	no	yes	
		13.3837553	52.5065796	no	yes	
		13.3352905	52.5080613	no	yes	
		13.3827697	52.5557777			
		13.5040252	52.4621098	no	yes	Bauhaus
		13.3246429	52.5119671	no	no	
		13.4223052	52.5032102	no		
		13.3427221	52.5257159	no	no	
		13.3483610	52.5140625	no	no	
		13.3484613	52.5140718	no	no	
		13.2821064	52.5903218	yes	yes	C&A
		13.2860595	52.5840591	yes	yes	
		13.4126228	52.5385085		no	
		13.3100622	52.5079985	no	no	
		13.3645964	52.5191114	no	yes	
		13.3905213	52.5447049	yes	yes	Wall
		13.3768415	52.5003924	yes		
		13.3886299	52.5443811	no	yes	
	EcoToilette	13.5307386	52.4836249	no	yes	
		13.3436725	52.5426908	no	yes	
		13.3392298	52.5443178		no	
		13.5768267	52.5396699	no	no	
		13.5703854	52.5380140	no	yes	
		13.5748317	52.5397556	no	yes	
		13.3322034	52.4524606	no	limited	LPG
		13.2893236	52.4592648	no	yes	
		13.4432850	52.4813036		yes	
		13.4707811	52.5287640	no	yes	REWE
		13.5110220	52.6313787	no	yes	Helios Klinikum
		13.5098302	52.4576972	no	yes	EDEKA Center Schöneweide
		13.5419617	52.5417430			Le Prom
		13.5438896	52.5436289	yes	yes	SANIFAIR GmbH
		13.5243135	52.4980131	no	no	
		13.2581794	52.5486791	no	no	
		13.5747007	52.4440832	yes	yes	
		13.3929616	52.4967964	no	yes	
		13.4235221	52.5044433			Freiluftkino Kreuzberg
		13.4111573	52.5199322			Decathlon
		13.4110329	52.5192260	yes	yes	
		13.5377218	52.3898856			McParking
		13.3357616	52.4438631	no	yes	Edeka
		13.3350525	52.5059204		yes	
		13.1449893	52.4730539		yes	
		13.1439153	52.4728191		no	
		13.1417036	52.4726467		no	
		13.1393429	52.4682614		yes	
		13.2744053	52.5441639			
		13.2744066	52.5435637			
		13.5352259	52.4331530	no	yes	Kaufland Adlershofer Tor
		13.1911571	52.4340450	yes	no	SANIFAIR GmbH
		13.3940478	52.5324453	no	yes	
		13.3047676	52.4583974	no		
		13.2837148	52.5914342			FAZIT Ärztehaus
		13.5721960	52.4124736		yes	Bruno-Taut-Passage
		13.3217745	52.5893343	no		Städtischer Friedhof Wittenau
		13.5343339	52.4930248	no	no	
		13.2658050	52.4559089			
		13.3029142	52.6356486		no	
		13.3841346	52.5286524	no	yes	
		13.4973374	52.4995847	no	yes	Kaufland
		13.2116255	52.5402838			
		13.1961625	52.4781536	yes	limited	
		13.1790454	52.4212874	yes	yes	Hering
		13.5145569	52.5312870	no		
		13.3285889	52.5627503	yes	yes	Einkaufszentrum Clou
		13.3663499	52.5462805	no	no	
		13.5658297	52.5347186		yes	
		13.3675839	52.4910195	no	yes	
		13.3663279	52.4595793	yes	yes	Wall
	Berliner Toilette	13.4274380	52.5272114	yes	yes	Wall
		13.3251901	52.4622090	yes		
	Toilette (Sanitärcontainer)	13.2466491	52.5616311	no	no	Wall GmbH
		13.3880719	52.4636777	no		Bezirkszentralbibliothek
		13.3237907	52.5028557	no		
		13.3864326	52.5077451		no	
		13.1300737	52.4451076	no	yes	
		13.3879119	52.4401659	yes	yes	Wall
		13.1439184	52.4537513	yes	yes	Wall
		13.4313662	52.4789669			
		13.1304565	52.4446533	no	yes	
		13.2656477	52.6386691	no		
		13.3780298	52.5172589	yes	no	
		13.3325743	52.5056921			
		13.2158314	52.4406573	no	no	
	Berliner Toilette	13.2408742	52.5254933	no	yes	Wall GmbH
		13.4455693	52.5062812		yes	
		13.4130927	52.5382930	yes	no	
		13.4381913	52.4955463	no	no	
		13.3734636	52.5101966	yes		
		13.3030718	52.4526279	no	no	
		13.4566214	52.5334173			
		13.2077640	52.5373511	yes	yes	Wall
	Berliner Toilette	13.6493868	52.3758055	yes	yes	Wall
		13.4039286	52.5699588	yes	yes	
		13.3891946	52.4902553	no	limited	
		13.4916810	52.4595927	no	yes	
		13.4914507	52.4598310	no	no	
		13.6752802	52.4068886	no	no	
		13.3228349	52.4758134	no	no	
		13.3609698	52.4544317			
		13.3101564	52.4440301			
		13.2964077	52.4234445		yes	
		13.2087472	52.4253838	no		
		13.2548467	52.4391620		no	
		13.2548936	52.4390956		no	
		13.3460832	52.5534258		yes	
		13.3536993	52.5486078	yes	yes	
		13.3297813	52.5467843	no	no	
		13.4250030	52.4684362	no		PrinzessinnenGartenBau UG
		13.2953028	52.6164294			
		13.2950656	52.6165397			
		13.2392605	52.4962231	no	yes	
		13.3666041	52.5454455		no	
		13.3054123	52.5085250			
		13.4958566	52.5347120			Allee-Center
		13.1418683	52.5250851			REWE
		13.3021163	52.4562066	no		
		13.3021998	52.4561815	no		
		13.3082017	52.4538722	no	yes	
		13.6684722	52.4471848	no		
		13.1781258	52.5856760			
		13.3929017	52.4377883		yes	
		13.4349914	52.5628788	no	no	
		13.4005668	52.5810813		yes	
		13.4679421	52.5039252	yes	yes	SANIFAIR GmbH
		13.1153923	52.4612335	no	no	
		13.3261173	52.4657605	yes	yes	
		13.4538112	52.4792598			
		13.4537930	52.4792461			
		13.4099628	52.4791975	no	yes	
		13.4100013	52.4791758	no	no	
		13.4099244	52.4792191	no	no	
		13.4005773	52.5438730	no	yes	Sonstige Betreiber
	Berliner Toilette	13.3060442	52.6016962	yes	yes	Wall
		13.4179581	52.4770307	no	yes	
		13.4179504	52.4770623	no	yes	
		13.4179426	52.4770939	no	no	
		13.3808788	52.5109162	yes	limited	Mall Of Berlin
		13.4244177	52.5030922	yes	yes	Wall
		13.3220141	52.5004838			
		13.4913018	52.4847646		yes	
		13.3946726	52.5697373	yes	yes	Sonstiger Betreiber
		13.4425507	52.5434797	yes		
	WC Center	13.4970702	52.5095029	yes	yes	
		13.5272257	52.5570071	no	yes	sun Tankstelle
	Söhnel Biergarten	13.1412551	52.4010924	no		Alexander Porrmann
		13.3943492	52.4893266	yes		
		13.4313166	52.5023530	no		
		13.3738053	52.4957276	no	no	
	City-Toilette	13.3086448	52.5702628	yes	yes	Wall
		13.2517791	52.4489510	yes	yes	Wall
		13.3194023	52.4569701			
	City Toilette	13.4204516	52.4916166	yes	yes	Wall
		13.3450333	52.4969022	no	yes	Wall
		13.1991447	52.4365165	no	no	
		13.3922267	52.4395316			
		13.3685807	52.5447907	yes	yes	Wall
		13.4481365	52.4367379	no	yes	Kaufland
		13.3478636	52.4321219	yes	yes	Wall
		13.5165846	52.4201141	yes	yes	Wall
		13.4396066	52.5098894	no	no	Hellweg
		13.4501934	52.4688898			wheego
		13.4271830	52.4788371	yes		
		13.4271995	52.4787828	yes		
		13.3836475	52.5592613	yes	yes	Wall
		13.4809066	52.4900593	yes	yes	Wall
	Berliner Toilette	13.5738645	52.4453028	no	yes	
		13.4010819	52.5329693	yes	yes	Wall
	Berliner Toilette	13.3522838	52.5462165	yes	yes	Wall
		13.3989401	52.5414389	yes	yes	Wall
		13.4486522	52.4778344	no		
		13.5194657	52.4699177		limited	
		13.3662545	52.5373811	yes	yes	Wall
		13.3242845	52.4621745			
		13.4293571	52.4696846	no	yes	
		13.2536037	52.4420716		no	
		13.2517295	52.4433973		no	
		13.4158351	52.4802313	no		
		13.4162122	52.4799545	no		
		13.4025464	52.5066071	yes	yes	Wall
		13.4039238	52.5778971	yes	no	
		13.3508240	52.4559603			
	Berliner Toilette	13.3380384	52.4884712	yes	yes	Wall
		13.5192969	52.4698603		limited	
		13.6253224	52.4514223	yes	yes	Edeka Bölschestraße
	Berliner Toilette	13.3586453	52.6209714	yes	yes	Wall GmbH
	Berliner Toilette	13.3122636	52.6061348	yes	yes	Wall
	Toi Toi	13.3777568	52.5720977	no	no	
		13.4740275	52.5140942	yes	yes	
	Berliner Toilette	13.5201300	52.4339905	yes	yes	
		13.1547196	52.4970849			
	Berliner Toilette	13.3011376	52.5302541	yes	yes	Wall GmbH
		13.3893805	52.4829619	no	no	
		13.3690473	52.5235099	no		
		13.3766428	52.5526993		yes	
		13.3144077	52.4805418			
		13.5180898	52.4600201	no	yes	
		13.2729833	52.5215152			
		13.5328789	52.5006327	no	no	
	City Toilette	13.4315451	52.4678540	yes	yes	Wall
		13.4316077	52.4678636	no	yes	Wall
		13.4542276	52.5069602		designated	
		13.3650646	52.4273886	no	limited	
		13.4735577	52.5037628	no	yes	
	Toilette (Sanitärcontainer)	13.2855837	52.5706869	no	no	Wall GmbH
		13.3390156	52.5281464	no	no	
		13.3511946	52.5624402	no		
		13.1851419	52.5015941	no	no	
		13.2857656	52.5845532	yes	yes	
		13.3305205	52.5104504	no	yes	
		13.3270670	52.5094959	no	yes	
		13.3240253	52.5122975	no	yes	
		13.3273442	52.5094110	no	yes	
	"EcoToilette Lessinghöhe, Neukölln"	13.4367334	52.4756905	no	yes	EcoToiletten GmbH
		13.4175456	52.4739920	no	yes	
		13.3895068	52.4904917			El Chilenito
		13.3882907	52.5689772	no		
		13.5603996	52.5069508	no	yes	
	Toilette	13.3315250	52.4486922			
		13.3582803	52.4803731	no	yes	
		13.2346906	52.4895441	no	no	sonstiger Betreiber
		13.5741514	52.5343949	no		
		13.4302644	52.5859852	yes		
		13.4460519	52.4836952	no	yes	
		13.3365873	52.5527260	yes	yes	
		13.3547335	52.5970566	yes	yes	
	Toilette	13.5876213	52.4418322	no		
		13.5737082	52.4446054	yes		
		13.3875924	52.4753922	no	yes	
		13.4378573	52.4457040		no	
		13.4379648	52.4469669			
		13.4378617	52.4468735			
		13.4134958	52.4788490	no	yes	
	"EcoToilette Wriezener Park/Helsingforser Straße, Friedrichshain-Kreuzberg"	13.4454636	52.5098652	no	yes	EcoToiletten GmbH
	"EcoToilette Münsinger Park, Spandau"	13.1987391	52.5374309		yes	
	Parktoilette	13.5491845	52.5503159	no	yes	EcoToiletten GmbH
	"EcoToilette Fennpfuhlpark, Lichtenberg"	13.4750560	52.5296825	no	yes	EcoToiletten GmbH
	"EcoToilette Lauenburger Platz, Steglitz-Zehlendorf"	13.3384659	52.4605055	no	yes	EcoToiletten GmbH
	"EcoToilette Volkspark Wuhlheide, Treptow-Köpenick"	13.5262802	52.4697515	no	yes	EcoToiletten GmbH
	"EcoToilette Seggeluchbecken, Reinickendorf"	13.3480600	52.6011236		yes	EcoToiletten GmbH
	Parktoilette	13.2990314	52.5149006		yes	EcoToiletten GmbH
		13.4715577	52.4273250			
		13.4710151	52.4269255		yes	
		13.4710926	52.4268914			
		13.4714924	52.4272516			
		13.4988585	52.5101791		yes	
	Parktoilette	13.3307480	52.4829643	no	yes	Eco Toiletten
		13.2055066	52.5376607	yes	yes	Wall
		13.3328766	52.5044121			
	Berliner Toilette	13.3132023	52.6169479	yes	yes	Wall
		13.3955420	52.6053144	no	no	sonstiger Betreiber
		13.3551059	52.4960855	yes	yes	
		13.3955104	52.6053212		no	Sonstiger Betreiber
		13.4022855	52.5689802	no	no	sonstiger Betreiber
		13.4667527	52.5595371	no	no	Sontiger Betreiber
	Parktoilette	13.4619518	52.5336890	no	yes	Eco Toiletten
	Berliner Toilette	13.3360147	52.5050662		yes	Wall
	Berliner Toilette	13.3308890	52.5033576	yes	no	Wall GmbH
	Berliner Toilette	13.2443937	52.5156576	yes	yes	Wall
	Berliner Toilette	13.2446869	52.5155959	yes	no	Wall
	Berliner Toilette	13.2367153	52.5106076	yes	yes	Wall GmbH
	Berliner Toilette	13.2494645	52.5174183	yes	no	Wall
	Berliner Toilette	13.3013142	52.5050272	yes	yes	Wall
	Berliner Toilette	13.2908927	52.5102522	yes	yes	Wall
		13.2490977	52.5148669	no	no	sonstiger Betreiber
		13.2921137	52.4733907	no	no	sonstiger Betreiber
	Berliner Toilette	13.4197509	52.4958545	yes	yes	Wall GmbH
		13.1908375	52.5165489	no	yes	
	Parktoilette	13.5432792	52.5424726	no	yes	EcoToiletten
		13.3871182	52.5100064	no	no	
		13.4010617	52.5211299		yes	
		13.4054259	52.4979441	no	yes	
		13.4033090	52.4977597		yes	
		13.4161595	52.4825060	no	no	
		13.3868946	52.5207466	no		
	Toilette (Sanitärcontainer)	13.2566015	52.5680920	no	no	Wall GmbH
		13.6307613	52.4462753			
		13.5076707	52.5215116	no	yes	
	Berliner Toilette	13.2107904	52.5673560	no	yes	
	öffentliche Toilette	13.4633334	52.4933753	no	yes	Wall
		13.3972979	52.5222183	no	yes	Finizio GmbH
		13.4930342	52.4930413		no	Dark Matter
		13.4737075	52.4539626			
		13.3474089	52.4838162		no	
		13.4940144	52.4609882	no		
		13.5083844	52.4571520	yes	yes	
	Wall-Toilette	13.1841845	52.4841757	yes	yes	Wall
		13.4655205	52.5045453	yes	no	
		13.4655645	52.5045375	yes	yes	
		13.4091315	52.5151828		designated	
		13.4066310	52.5244172	no		
		13.3971009	52.4895823	no		
		13.4204774	52.5041949	no	no	
		13.3707834	52.4935592		yes	
		13.3214147	52.4572414			
	Parktoilette	13.3651201	52.5733189	no	yes	EcoToiletten
		13.4587755	52.5296885	no	yes	Finizio GmbH
		13.3973364	52.5222093	no		Finizio
		13.3653416	52.5244777			
		13.3262541	52.5097190	no	yes	
		13.4171593	52.4846487	yes	yes	
		13.3898763	52.4638034			
		13.3892874	52.4638360			
		13.4937742	52.4819213			
		13.4937829	52.4818876			
		13.4937846	52.4818995			
		13.2284487	52.5417775		limited	
		13.4809093	52.4867370	no	no	
		13.2442990	52.5769320	no		
		13.4522460	52.4977322			
		13.4052637	52.4979420			
		13.4175396	52.4740266	no	yes	
